id,unix_timestamp_ms,side,price,quantity
10294698,1759266178031,sell,1.671200,28.390000
10294699,1759266178031,sell,1.671100,171.610000
10294700,1759266178335,buy,1.670800,179.740000
10294701,1759266178710,sell,1.670800,29236.940000
10294702,1759266178799,buy,1.671100,222.000000
10294703,1759266178799,buy,1.671200,26.450000
10294704,1759266178799,buy,1.671300,15.330000
10294705,1759266178897,sell,1.670900,9.410000
10294706,1759266179361,sell,1.670900,15.000000
10294707,1759266179361,sell,1.670700,54.710000
10294708,1759266179649,buy,1.670800,3259.370000
10294709,1759266180167,sell,1.670500,89.780000
10294710,1759266180381,buy,1.670900,1517.590000
10294711,1759266180558,buy,1.670600,48.580000
10294712,1759266180710,sell,1.670500,27.990000
10294713,1759266180832,sell,1.670500,359.560000
10294714,1759266181036,buy,1.670600,322.450000
10294715,1759266181163,sell,1.670500,122.010000
10294716,1759266181309,sell,1.670500,7.700000
10294717,1759266181464,sell,1.670400,30.500000
10294718,1759266181464,sell,1.670300,149.240000
10294719,1759266181497,buy,1.670500,24.190000
10294720,1759266181546,buy,1.670200,231.840000
10294721,1759266181752,buy,1.670400,1433.390000
10294722,1759266181953,buy,1.670500,1650.640000
10294723,1759266182080,buy,1.670500,1492.930000
10294724,1759266182309,sell,1.670300,500.000000
10294725,1759266182658,buy,1.670900,1776.970000
10294726,1759266182758,buy,1.671000,27.060000
10294727,1759266182946,buy,1.671500,7.700000
10294728,1759266183101,buy,1.671500,1148.150000
10294729,1759266183228,buy,1.671450,11556.510000
10294730,1759266183335,buy,1.671500,1764.870000
10294731,1759266183394,buy,1.671600,463.780000
10294732,1759266183394,buy,1.671700,9.270000
10294733,1759266183394,buy,1.671800,25.110000
10294734,1759266183394,buy,1.671900,283.520000
10294735,1759266183469,buy,1.672000,625.930000
10294736,1759266183709,sell,1.672000,193.910000
10294737,1759266184126,buy,1.672100,59.870000
10294738,1759266184402,buy,1.672100,26.940000
10294739,1759266184402,buy,1.672200,152.630000
10294740,1759266184527,buy,1.672200,67.830000
10294741,1759266184663,buy,1.672200,1.540000
10294742,1759266184663,buy,1.672300,279.490000
10294743,1759266184834,sell,1.672000,89.710000
10294744,1759266185153,buy,1.672200,201.500000
10294745,1759266185153,buy,1.672300,1292.780000
10294746,1759266185285,buy,1.672250,7645.830000
10294747,1759266185314,buy,1.672300,22.740000
10294748,1759266185359,sell,1.672200,1080.480000
10294749,1759266185494,buy,1.672400,254.940000
10294750,1759266185829,buy,1.672000,26.040000
10294751,1759266186220,sell,1.671900,139.630000
10294752,1759266186243,buy,1.672000,23.700000
10294753,1759266186428,buy,1.672000,17.230000
10294754,1759266186428,buy,1.672200,846.100000
10294755,1759266186653,buy,1.672200,3159.820000
10294756,1759266186726,sell,1.671900,105.150000
10294757,1759266186769,buy,1.672200,359.170000
10294758,1759266186865,sell,1.672050,12018.400000
10294759,1759266186952,sell,1.671900,3.200000
10294760,1759266186956,buy,1.672100,4328.330000
